original_fault_type,brand,age,problem,fault_type
Software update,Apple,unknown_age,Was freezing on app,Other damage
Screen,Apple,unknown_age,Screen too dark,Screen damage
Help/configuration,Apple,unknown_age,Not recognising ID,Other damage
Help/configuration,Samsung,4,Have data transferred from Microsoft to Samsung ~ Unknown,Other damage
Software issue,Samsung,1,remains on home screen,Display issues
USB/charging port,Samsung,4,Charging connection --> bent pin ~ Plug connected incorrectly,Charge port issue
Screen,Apple,unknown_age,Flickering screen,Screen damage
Screen,Samsung,unknown_age,Order screen,Display issues
Other,Apple,2,Water damage,Other damage
Power/battery,Apple,unknown_age,Battery drains really fast,Battery
Headphone jack,Apple,unknown_age,Fire wire as a headphone connection not working,Other damage
Software update,Apple,unknown_age,Crashes - fixed with software cleanup and making space,Other damage
Screen,Samsung,unknown_age,Broken screen - to order spare parts,Display issues
Other buttons,Apple,unknown_age,Menu button does not work - to order spare parts,Other damage
Other,Apple,unknown_age,Water damage- got wet over one month ago no instantaneous drying process,Other damage
Software update,Apple,unknown_age,Not functioning well - needed data cleanup and software updates,Other damage
On/Off button,Samsung,unknown_age,Power button not working. Temporary fix.,Battery issues
Other,Samsung,unknown_age,broken keyboard connector,Other damage
Screen,Apple,unknown_age,replaced LCD,Screen damage
Power/battery,Apple,unknown_age,replaced battery,Battery
Screen,Apple,unknown_age,"cracked LCD replaced, home button replaced, camera replaced",Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,"broken screen, but part was't available",Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Software update,Apple,unknown_age,software issue resolved with reset,Other damage
Screen,Apple,unknown_age,replaced cracked screen and fixed boot loop,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,cracked LCD replaced,Screen damage
Screen,Apple,unknown_age,replaced LCD,Screen damage
Screen,Apple,unknown_age,replaced LCD,Screen damage
Screen,Apple,unknown_age,replaced LCD,Screen damage
Screen,Apple,unknown_age,replaced LCD,Screen damage
Screen,Apple,unknown_age,replaced LCD,Screen damage
Screen,Apple,unknown_age,replaced LCD & home button,Screen damage
Screen,Apple,unknown_age,replaced LCD & home button,Screen damage
Power/battery,Apple,unknown_age,Doesn't work anymore,Battery
Help/configuration,Samsung,3,Scan ~ Setting,Other damage
Power/battery,Apple,unknown_age,not loading,Battery
Screen,Samsung,4,"Broken screen, we opened the phone up and removed the screen.  Next time participants can come with the spare parts; new screen and put it in.",Display issues
Screen,Apple,2,Broken screen - spare part available,Screen damage
Screen,Samsung,2,Broken screen,Display issues
Screen,Samsung,2,Broken screen,Display issues
Screen,Samsung,1,Broken screen,Display issues
Screen,Samsung,1,Broken screen,Display issues
Liquid damage,Apple,3,Network not responding ~ Fallen into water,Other damage
Power/battery,Apple,unknown_age,Does not switch on.,Battery
Storage problem,Samsung,2,Overloaded,Other damage
Power/battery,Samsung,unknown_age,Not turning on,Battery issues
Help/configuration,Apple,unknown_age,Won't download,Other damage
Camera,Apple,unknown_age,"No light, photo issue",Rear camera damage
Power/battery,Apple,unknown_age,"The display on the iPhone 3 had taken off. The reason for this was the built-in battery, which was quite bloated and needs to be replaced. Then the device will return to its original shape.",Screen damage
Power/battery,Samsung,unknown_age,"A battery from the phone also had to be disposed of properly. This no longer showed any tension and had already bloated significantly. For this reason, the phone did not show any function and did not charge the battery. But with a new replacement battery it should work again soon.",Battery issues
Microphone,Apple,unknown_age,replaced LCD & microphones,Other damage
Screen,Apple,unknown_age,replaced LCD & microphones,Screen damage
Screen,Apple,unknown_age,replaced LCD & microphones,Screen damage
Help/configuration,Samsung,6,falls back into login mode,Other damage
Screen,Samsung,unknown_age,"Had one of those daft curved-glass screens, smashed of course. The user did not bring any replacement parts, so was referred to a professional service.",Display issues
Power/battery,Apple,1,Change battery,Battery
Other,Apple,1,Bent phone,Other damage
Volume buttons,Apple,4,Sound button broken,Other damage
Unknown,Samsung,1,Explanation ~ Unknown,Other damage
Power/battery,Apple,6,does not turn on anymore ~ ​​possible battery problem,Battery
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Samsung,2,Broken screen,Display issues
Power/battery,Apple,2,does not power on - battery,Battery
USB/charging port,Apple,2,"Not charging - the charging port was dirty, a clean fixed the problem.",Other damage
USB/charging port,Apple,3,Needs new lightning USB port - sent to store,Other damage
Screen,Samsung,1,Screen cracked. surge and advice (new samsung screen can be replaced easily).,Display issues
Storage problem,Samsung,unknown_age,Fault by SD card,Other damage
Power/battery,Apple,unknown_age,"A new battery has been installed, but the device no longer works. ~ Battery defective and replaced by the customer himself",Battery
Power/battery,Apple,unknown_age,"After replacing the battery some time ago, the smartphone vehemently refused to charge the new battery. In any case, nothing happened when we plugged in the power supply and the charging indicator remained at its low level. All contacts, connectors and cables seemed to be OK, so we ultimately didn't know what to do next.",Battery
Liquid damage,Apple,8,water damage,Other damage
Software update,Samsung,3,"Software issue causing updates from being installed.  Couldn't find permanent fix, recommended updating OS to Lineage",Other damage
Power/battery,Samsung,unknown_age,Charging takes ages,Battery issues
Power/battery,Samsung,unknown_age,"Problem: Won't charge.  Diagnosis:  It was charging 20 mA, which looked like it was fully charged and trickle charging. It wasn’t recognised by a laptop (nothing appeared on the USB) so it was not a case of it being switched on with a dead screen. We tried all the Android resetting key combinations we could find with no effect. Accessing the battery requires taking out the (broken) screen and a mid plate. The phone is under warranty but Samsung refused to repair it under warranty as the screen is broken on the sides and would shatter when opening the phone.  Owner was going to check with Lovephone.",Battery issues
Power/battery,Samsung,4,Needed a battery replacement. No heatgun at this event.,Battery issues
Storage problem,Apple,1,Full memory,Other damage
Screen,Samsung,3,Smashed screen,Display issues
Screen,Samsung,1,Nothing showing on screen (dropped),Display issues
Power/battery,Samsung,unknown_age,Won't turn on,Battery issues
Screen,Apple,3,cracked screen,Screen damage
Screen,Apple,2,cracked screen,Screen damage
Software issue,Samsung,unknown_age,"A symbol remains on the display, which means that someone has called. It doesn't want to go away.",Display issues
Other buttons,Apple,3,Button broken.  Advice given.,Other damage
Screen,Apple,3,Blroken screen,Screen damage
Power/battery,Apple,unknown_age,Low battery,Battery
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
USB/charging port,Apple,unknown_age,charging problems,Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
USB/charging port,Apple,unknown_age,USB + battery,Battery
Power/battery,Apple,unknown_age,charging problems,Battery
Screen,Apple,unknown_age,cracked screen,Screen damage
Power/battery,Apple,unknown_age,Battery,Battery
Screen,Apple,unknown_age,cracked screen,Screen damage
Power/battery,Apple,unknown_age,battery replacement,Battery
Power/battery,Apple,unknown_age,Battery,Battery
Screen,Apple,unknown_age,screen,Screen damage
Power/battery,Apple,unknown_age,battery,Battery
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,small crack on screen,Screen damage
Power/battery,Apple,unknown_age,battery,Battery
Power/battery,Apple,unknown_age,battery,Battery
Storage problem,Apple,unknown_age,storage - help given,Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Power/battery,Apple,unknown_age,battery,Battery
Screen,Apple,unknown_age,cracked screen - no part available,Screen damage
Screen,Apple,unknown_age,cracked screen and slow -no part available,Screen damage
Speaker/amplifier,Apple,unknown_age,Speaker unaudible works in whatsapp Voice but no video not' swatchaft/ call,Other damage
Screen,Apple,unknown_age,cracked screen - touch problems,Screen damage
Screen,Samsung,unknown_age,cracked screen,Display issues
Screen,Apple,unknown_age,Edge cracked screen - No part available,Screen damage
USB/charging port,Samsung,unknown_age,Charge port failing - No part available,Charge port issue
Screen,Apple,unknown_age,scuffed screen,Screen damage
Screen,Samsung,unknown_age,cracked screen - no part available,Display issues
Screen,Apple,unknown_age,cracked screen,Screen damage
Other buttons,Apple,unknown_age,lock button problem - no part available,Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Other,Apple,unknown_age,water damage,Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Stuck booting,Apple,unknown_age,Power/boot,Battery
Screen,Apple,unknown_age,Broken screen,Screen damage
Other,Samsung,3,sea water damage,Other damage
Power/battery,Samsung,5,swollen battery,Battery issues
Help/configuration,Apple,5,Network disorder,Other damage
Screen,Apple,3,needs new screen (waiting for spare part),Screen damage
Power/battery,Apple,3,irregular charging,Battery
Power/battery,Samsung,4,Not switch on.,Battery issues
Power/battery,Samsung,unknown_age,does not turn on,Battery issues
Screen,Samsung,2,Broken scrren,Display issues
Screen,Apple,4,Broken screen/battery,Screen damage
Screen,Apple,2,Broken screen,Screen damage
Stuck booting,Samsung,8,"Charges, but does't start",Other damage
Power/battery,Apple,5,Doesn't charge,Battery
Volume buttons,Apple,5,Volume button,Other damage
Other,Samsung,1,SD card not working.  Card found to be faulty.  Phone OK,Other damage
Screen,Apple,unknown_age,screen replaced but now not working. Also repairer did not replace any screws! Might be repairable but no easy fault found upon inspection.,Screen damage
Stuck booting,Samsung,3,Stuck in boot mode,Other damage
Screen,Apple,unknown_age,Needs screws after DIY screen replacement went slightly wrong.,Screen damage
Screen,Samsung,unknown_age,Cracked screen,Display issues
Power/battery,Samsung,6,Doesn't charge,Battery issues
Power/battery,Samsung,unknown_age,needs new battery,Battery issues
Screen,Apple,unknown_age,"screen, could also be logicboard",Screen damage
Other buttons,Apple,4,Broken home button. Fixed in software,Other damage
Screen,Apple,unknown_age,"frame dislocated, glass defective ~ protective edge loose",Screen damage
Screen,Samsung,5,Does not turn on.  Screen damaged,Display issues
Power/battery,Apple,3,Does not charge plus other damage,Battery
Software update,Apple,2,Wants to put it back to factory settings,Other damage
Other buttons,Apple,3,"Home button issues, ""freezes"" sometimes",Other damage
Speaker/amplifier,Apple,4,Weak/bad sound from speaker,Other damage
Speaker/amplifier,Apple,2,Sound issues,Other damage
Camera,Apple,2,Both cameras won't work after fall; guests suggests replacing hardware - no physical damage found. Suggest factory reset.,Rear camera damage
Screen,Apple,2,Cracked digitiser; LCD ok touch ok - request new screen assembly,Screen damage
Screen,Samsung,1,Cracked digitiser; LCD ok touch ok - request new screen assembly,Display issues
Screen,Apple,2,Cracked digitiser; LCD ok touch ok - request new screen assembly,Screen damage
Screen,Apple,2,Cracked digitiser; LCD ok touch ok - replaced screen assembly,Screen damage
Screen,Apple,2,"Rear camera won't focus; Cracked digitiser; LCD ok touch ok - 1) go to Apple Store for free repair program, 2) request new screen assembly",Screen damage
USB/charging port,Apple,3,Phone won't charge - removed dirt from charging port,Battery
Screen,Apple,3,"Cracked digitiser; LCD ok touch ok - request new screen assembly; silence button stuck - cleaned, works again",Screen damage
Screen,Apple,4,"Display coming off, battery health low - request new screen assembly and battery",Screen damage
Other,Apple,3,"Water damage, phone won't boot; corrosion found on board - suggest data recovery",Other damage
Screen,Apple,1,Cracked digitiser; LCD ok touch ok - request new screen assembly,Screen damage
Other buttons,Apple,2,"Home button doesn't work, no press or touch id - guest wants to preserve touch ID, suggest to go to Apple",Screen damage
Screen,Apple,4,"Cracked digitiser; LCD ok touch ok, battery health low - request new screen assembly and battery",Screen damage
Camera,Apple,2,Cracked lens cover - request new lens cover,Rear camera damage
Liquid damage,Samsung,2,"Device won't connect via USB, dropped in sea water - request new I/O daughterboard and battery",Battery issues
Screen,Apple,2,Cracked digitiser; LCD ok touch ok - request new screen assembly,Screen damage
Screen,Apple,3,Cracked digitiser; LCD ok touch ok - request new screen assembly,Screen damage
Screen,Samsung,2,Cracked digitiser; LCD ok touch ok - request new screen assembly,Display issues
Screen,Apple,3,"pink screen, runs hot and shuts off. Factory reset needed.",Screen damage
Other,Apple,unknown_age,"dropped in toilet, not working",Other damage
Screen,Samsung,unknown_age,broken display,Display issues
Help/configuration,Samsung,unknown_age,Advice ~ Advice,Other damage
Other buttons,Apple,unknown_age,"Home button broken - kit not available to fix, suggested local professional.",Other damage
Help/configuration,Samsung,unknown_age,time/date wrong,Other damage
Screen,Apple,4,Broken Screen - Screen Replaced and Phone Restored,Screen damage
Screen,Apple,6,Broken Screen - Replaced and Phone Repaired,Screen damage
Screen,Apple,3,Broken screen and bad battery,Screen damage
Help/configuration,Samsung,unknown_age,time/date wrong,Other damage
Other buttons,Apple,5,Slow home-button,Other damage
Sim card slot,Samsung,2,Doesn't work + sim card,Other damage
Headphone jack,Apple,1,plug for earphones broken,Other damage
Power/battery,Apple,4,Turns off even when fully charged,Battery
Other,Samsung,1,Change back cover,Backglass cracked
Power/battery,Apple,3,"Won't charge, loose screen",Screen damage
Headphone jack,Samsung,2,minijack street,Other damage
Unknown,Apple,3,Won't turn on,Other damage
Screen,Apple,3,"""Dead"" screen",Screen damage
Screen,Samsung,3,Broken screen,Display issues
Power/battery,Apple,4,Battery poor,Battery
Screen,Apple,6,Broken glass and back,Screen damage
Other,Samsung,unknown_age,Had been exposed to water and wanted to check for water damage,Other damage
Other buttons,Apple,2,"Home button and Touch ID not working; cracked screen 2 years ago, LCD and touch OK",Screen damage
Screen,Apple,1,"Cracked Screen, Touch and LCD ok",Screen damage
Screen,Apple,2,"Cracked Screen, battery dying fast",Screen damage
Screen,Apple,2,"Cracked Screen, Touch and LCD ok",Screen damage
Software update,Apple,2,"Phone runs slow; changed battery 1 month ago but doesn't help, 4Gb of storage left from 64",Battery
Power/battery,Apple,4,Battery and Screen Assembly Replacement,Screen damage
Screen,Apple,4,Screen assembly bracket missing,Screen damage
USB/charging port,Apple,2,"Charging port blocked; water evaporation signs in front-facing camera (potential water damage); no other symptoms . Dirt in charging point, dust in camera channel",Rear camera damage
Screen,Apple,1,Cracked digitiser,Screen damage
Screen,Apple,unknown_age,"Cracked digitiser, low battery health",Screen damage
Screen,Apple,2,Cracked digitser,Screen damage
Unknown,Apple,unknown_age,No idea ~ Can't send messages,Other damage
Stuck booting,Samsung,4,Doesn't work anymore,Other damage
Power/battery,Samsung,5,"power problem, advice given",Battery issues
Screen,Apple,5,screen,Screen damage
Screen,Apple,unknown_age,LCD glass defect ~ screen damaged,Screen damage
Power/battery,Samsung,4,"Fell into water, battery dead. Just replace the battery.",Battery issues
Software update,Samsung,unknown_age,Screen going on and off.  Fixed by turning off the screen saver.,Display issues
Speaker/amplifier,Apple,unknown_age,speakers not working,Other damage
Other buttons,Apple,3,home button doesn't wake ~ home button doesn't work,Other damage
Speaker/amplifier,Apple,4,doesn't work anymore,Other damage
Power/battery,Apple,unknown_age,doesn't charge,Battery
Help/configuration,Samsung,unknown_age,Setting ~ Screen locked,Display issues
USB/charging port,Apple,2,"No longer works, charging socket is defective",Other damage
Screen,Samsung,5,Broken screen on one device ~ Transfer screen from one phone to another,Display issues
Screen,Apple,2,Touch screen not working properly,Screen damage
Stuck booting,Samsung,7,Boot loop,Other damage
Screen,Apple,unknown_age,Screen broken,Screen damage
Screen,Apple,unknown_age,Screen broken and battery too old,Screen damage
Screen,Apple,4,broken screen,Screen damage
Screen,Samsung,2,Displaywechsel,Display issues
Power/battery,Samsung,unknown_age,Not always staying on - needs new battery,Battery issues
Speaker/amplifier,Apple,unknown_age,Facetime not working - volume issue,Other damage
Unknown,Apple,5,won't turn on,Other damage
Screen,Samsung,2,Broken screen and replacement digitzer,Display issues
Screen,Samsung,2,Broken screen,Display issues
Screen,Apple,3,Broken glass,Screen damage
Power/battery,Apple,5,Looks like overheated battery,Battery
Software issue,Apple,unknown_age,Software,Other damage
Power/battery,Samsung,unknown_age,Akku defekt,Battery issues
Power/battery,Apple,unknown_age,Replacement Battery needed,Battery
Other buttons,Samsung,unknown_age,Home Button not working,Other damage
Camera,Apple,unknown_age,Front Camera Not Working,Rear camera damage
Screen,Apple,unknown_age,Broken Screen,Screen damage
Screen,Apple,unknown_age,Needs new screen,Screen damage
Screen,Apple,2,Screen broken,Screen damage
Screen,Apple,4,needs new screen,Screen damage
Screen,Apple,3,Screen broken,Screen damage
Screen,Apple,2,screen separating from casing,Screen damage
Software issue,Samsung,unknown_age,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again.",Other damage
Software issue,Samsung,unknown_age,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again.",Other damage
Screen,Apple,6,Broken screen,Screen damage
Screen,Apple,3,Screen not working properly,Screen damage
Microphone,Apple,4,Microphone not working,Other damage
Screen,Apple,2,broken screen,Screen damage
Screen,Apple,2,broken screen,Screen damage
Screen,Samsung,3,Broken screen,Display issues
Other,Samsung,1,Back glass broken. Had an offer to change for 370€,Backglass cracked
Unknown,Apple,4,does not open,Other damage
Power/battery,Samsung,7,"overheats /malfunctions, battery bulging, needs new battery",Battery issues
Unknown,Apple,7,"3 Phones, cannabilised parts into 1",Other damage
Speaker/amplifier,Apple,unknown_age,Audio volume poor; New speaker needed,Other damage
Screen,Apple,unknown_age,Screen Broken; Replacement installed,Screen damage
Screen,Apple,4,Broken screen. Swapped button and camera,Screen damage
Camera,Apple,2,Broken camera lens,Rear camera damage
Screen,Apple,3,Cracked digitiser; LCD ok,Screen damage
Screen,Apple,2,Digitiser unresponsive; ghost touch,Screen damage
Screen,Apple,unknown_age,Cracked screen assembly,Screen damage
Software issue,Apple,2,iTunes won't detect,Other damage
Camera,Apple,unknown_age,Cracked back cover and camera lens,Back glass damage
Power/battery,Apple,unknown_age,check battery,Battery
Screen,Apple,unknown_age,Screen cracked,Screen damage
Screen,Samsung,3,screen not working right. Fixed screen (loose connector) but broke power button,Battery issues
Power/battery,Apple,unknown_age,Battery old,Battery
Power/battery,Apple,unknown_age,Akku defekt,Battery
Screen,Apple,unknown_age,Display replacement,Screen damage
Power/battery,Apple,7,Dead battery. Needs replacement and specialized screwdrivers.,Battery
Screen,Samsung,4,Cracked screen. Could be replace with a spare.,Display issues
Help/configuration,Samsung,8,data via SIM ~ advice on data transfer,Other damage
Screen,Apple,4,Cracked screen assembly,Screen damage
Screen,Apple,unknown_age,Cracked screen assembly,Screen damage
Screen,Apple,3,"Gassing battery, cracked screen, broken camera lens",Screen damage
Screen,Apple,2,Ghost touch on digitiser,Screen damage
Screen,Apple,unknown_age,"Cracked screen, end-of-life battery",Screen damage
Unknown,Apple,2,Nothing is wrong during diagnosis,Other damage
Screen,Apple,3,Strips on display - previous repair shop opened it and lost some screws and a bracket in between,Screen damage
Other,Apple,unknown_age,Water damage,Other damage
Screen,Samsung,2,Damaged LCD,Display issues
Power/battery,Samsung,4,Likely short circuit in charging port or IO board - needs new battery and charging port,Battery issues
Screen,Apple,3,Broken screen,Screen damage
Screen,Apple,2,Broken screen,Screen damage
Screen,Apple,4,Broken screen,Screen damage
Screen,Apple,4,Broken screen,Screen damage
Other,Samsung,9,Loose wire from former repair,Other damage
Other,Samsung,9,Loose wire from former repair,Other damage
Screen,Apple,5,Broken screen and button,Screen damage
Screen,Apple,2,Replaced broken screen.,Screen damage
Screen,Apple,4,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Broken,Screen damage
Power/battery,Apple,unknown_age,Battery Fails @ 40%,Battery
Power/battery,Apple,unknown_age,Battery Needs Replacing,Battery
Screen,Samsung,unknown_age,Broken screen ~ Broken screen,Display issues
Liquid damage,Samsung,3,moisture problem ~ dropped phone into water,Other damage
Screen,Apple,3,Screen cracked.  Replacement screen fitted.,Screen damage
Screen,Samsung,unknown_age,"A visitor wanted to replace the cracked display glass on her Samsung “Galaxy J5” smartphone with us, but in the end this turned out to be too time-consuming and impractical. She ultimately decided to replace the entire display unit and now wants to order the necessary spare part by the next date.",Display issues
Screen,Apple,3,Cracked screen assembly + camera lens; needs new battery,Screen damage
Screen,Apple,3,Cracked screen assembly,Screen damage
Screen,Samsung,2,"No display on the screen, light at the bottom - need to research more on the issue",Display issues
Screen,Samsung,unknown_age,Screen blacked out after physical impact,Display issues
Other,Apple,1,Cracjed rear case glass,Other damage
Screen,Apple,7,Cracked screen assembly,Screen damage
Unknown,Samsung,unknown_age,no longer works,Other damage
Screen,Apple,unknown_age,display assembly replacement,Screen damage
USB/charging port,Apple,unknown_age,needed new charging port and screen,Screen damage
Help/configuration,Samsung,unknown_age,remove photos,Other damage
Help/configuration,Samsung,unknown_age,please set up properly and install apps,Other damage
Screen,Samsung,unknown_age,Screen broken; Replacement needed,Display issues
Screen,Samsung,unknown_age,Screen Locked,Display issues
Screen,Apple,unknown_age,Screen Broken; Replacement Needed,Screen damage
USB/charging port,Samsung,unknown_age,Charging Port not working; Replacement Unit needed,Charge port issue
Power/battery,Samsung,unknown_age,phone gets hot,Battery issues
Power/battery,Apple,unknown_age,Battery needs replacing ~ Battery needs replacing,Battery
Power/battery,Apple,unknown_age,Battery needs replacing ~ Battery issue,Battery
Screen,Apple,4,Snapped display assembly flex,Screen damage
Screen,Apple,3,Cracked digitiser; LCD flex cable shows sign of torn damage,Screen damage
Screen,Apple,4,Cracked digitiser,Screen damage
Headphone jack,Samsung,1,Headphone jack clogged by dust; cleaned thoroughly,Other damage
USB/charging port,Samsung,1,Charger port not detected; faulty USB cable,Charge port issue
Camera,Apple,unknown_age,Camera OIS failure,Rear camera damage
Microphone,Samsung,unknown_age,"The smartphone's microphone just hissed. Fortunately, it is located on the cable for the headphone jack and can be replaced individually.",Other damage
Power/battery,Apple,unknown_age,Glue the battery in place,Battery
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,"No display even if device is detected (on wifi, bluetooth)",Screen damage
Camera,Apple,unknown_age,Photo camera problem,Rear camera damage
Power/battery,Apple,unknown_age,Battery won't charge,Battery
Headphone jack,Apple,unknown_age,Jack port not working,Other damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Power/battery,Apple,unknown_age,Swolen battery,Battery
Unknown,Apple,2,n.a.,Other damage
Power/battery,Apple,2,Akkuwechsel,Battery
Screen,Apple,4,Screen assembly replacement,Screen damage
Screen,Apple,3,Screen assembly replacement,Screen damage
Screen,Apple,2,Cracked digitiser; screen assembly replacement requested,Screen damage
Other,Apple,2,Extreme water damage after being put in a washing machine - data can be recovered,Other damage
Power/battery,Apple,4,Battery replacement,Battery
Sim card slot,Apple,3,Bad contact with sim card,Other damage
USB/charging port,Apple,5,Charging socket and battery replaced,Battery
Screen,Samsung,unknown_age,no screen ~ no screen,Display issues
Power/battery,Apple,unknown_age,"Needed a new battery. But after replacing the battery, the phone stopped working (even using the old battery). It looks like a mistake was made during the repair (possible short circuit). The phone was repaired after the event by replacing the display and vibration motor.",Screen damage
Power/battery,Samsung,2,Doesn't turn on. Could be a battery issue.  Recommended to try a new battery and then if no joy take it to professional repairer.,Battery issues
Power/battery,Apple,4,Replace battery ~ Battery worn out,Battery
Power/battery,Apple,unknown_age,Needs new battery ~ Battery needs replacing,Battery
Power/battery,Apple,unknown_age,The battery had already been changed before without calibrating it. Note on how to do this,Battery
Unknown,Apple,7,"Dead. Checked battery, that seemed OK (at least not working when powered by power cube).",Battery
Screen,Samsung,unknown_age,Display split,Display issues
Software issue,Samsung,unknown_age,The smartphone did not work properly. When unlocked it sometimes reboots. We recommended backing up your data and resetting the device to factory settings.,Other damage
Headphone jack,Samsung,unknown_age,Replace jack plug,Other damage
Charger,Samsung,unknown_age,"Doesn't charge well - dodgy cable, so advised to replace",Other damage
Screen,Samsung,2,screen broken ~ screen broken,Display issues
Power/battery,Apple,3,phone broken ~ phone won't turn on,Battery
Power/battery,Samsung,4,not starting /responding,Battery issues
Screen,Samsung,unknown_age,Broken screen,Display issues
Storage problem,Samsung,1,Unable to get pictures from sim to memory card,Other damage
Other,Apple,6,bended motherboard,Other damage
Power/battery,Apple,unknown_age,broken screen and recharge circuit not working,Screen damage
Camera,Samsung,4,broken camera lens,Rear Camera Issues
Unknown,Apple,7,wires loose,Other damage
Screen,Apple,unknown_age,Display glass broken. A new display is required. Shop recommended for repairs,Screen damage
Screen,Samsung,unknown_age,Display torn and therefore no operation possible.,Display issues
Microphone,Samsung,4,The Galaxy J3 smartphone had problems with the microphone. We recommended that the guest get a new microphone so we can help him repair it.,Other damage
Screen,Apple,unknown_age,Broken Screen,Screen damage
Speaker/amplifier,Apple,unknown_age,Audio Problem,Other damage
Screen,Samsung,unknown_age,Broken screen.,Display issues
Microphone,Samsung,unknown_age,difficulty with new technology ~ WhatsApp not working,Other damage
Camera,Samsung,unknown_age,Camera connector loose,Rear Camera Issues
USB/charging port,Apple,unknown_age,Reinforced with shrink tubing to prevent cable breakage,Other damage
Screen,Samsung,unknown_age,Broken Screen,Display issues
Power/battery,Apple,unknown_age,Battery Needed Replacing,Battery
Screen,Apple,unknown_age,Cracked Screen; Needed Replacement,Screen damage
Screen,Samsung,unknown_age,Screen Needs Replacing,Display issues
Screen,Apple,unknown_age,Screen Broken; To be replaced,Screen damage
USB/charging port,Apple,unknown_age,Charging Port Faulty; Replaced,Other damage
USB/charging port,Apple,unknown_age,Charging Port Also Faulty; Replaced,Other damage
Screen,Samsung,unknown_age,Faulty Screen; Needs Replacing,Display issues
Power/battery,Apple,unknown_age,Broken - fitted with new power cable and off switch realigned,Battery
Unknown,Samsung,unknown_age,not working,Other damage
Power/battery,Samsung,4,Won't charge ~ Keeps cutting out,Battery issues
Screen,Samsung,unknown_age,screen cracked and back light not working,Display issues
Screen,Samsung,unknown_age,Display replacement,Display issues
Storage problem,Apple,4,"iMessages could not get send and a generally bad reception. Turned out her mobile data was turned off and the storage on the phone was reaching an end. It works for now, more questions are fixed in the future.",Other damage
Screen,Apple,unknown_age,"Cracked screen from being dropped twice. Replacement module already purchased. Supplied tools inadequate to complete repair. The owner will return to complete repair when tools available. Update: This has now been fixed successfully after several more visits and ordering spare parts. A 3rd party screen £17.70 and a spare set of screws £2 to replace a lost screw. A good value repair as the secondhand resell value on this phone is currently £350. The instructions on iFixt were incomplete about the replacement of the two rubber buffer/grommets that are attached to the two pentalobe screws. And also there was some difficulty replacing the adhesive tape for gluing down the screen. In the future, it may be necessary to apply the adhesive before attaching the cables for the new screen as the cables get in the way. Because of issues with the adhesive this repair may not be as waterproof as the original phone. if the battery needs to be replaced due to having low capacity it is advised that it be done at the same time but the old battery was considered sufficient capacity and not replaced on this occasion. ooo-xxx",Screen damage
Microphone,Apple,3,Microphone not working,Other damage
Screen,Apple,5,Screen & Battery Replacements,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Unknown,Apple,unknown_age,Not Working,Other damage
Power/battery,Apple,unknown_age,"Not starting properly.  Battery faulty, replacement needed.  User referred to local business.",Battery
Screen,Samsung,unknown_age,Screen broken.  User advised on getting replacement,Display issues
Speaker/amplifier,Apple,unknown_age,Speakers don't work.  Found to be full of crud.  Cleaned.  Works.,Other damage
Volume buttons,Samsung,unknown_age,Loud quiet buttons defective,Other damage
Screen,Apple,unknown_age,screen cracked,Screen damage
Screen,Samsung,1,"Screen broken ~ Stains on screen, now no image",Display issues
Camera,Apple,3,rear camera shaking profusely - repaired before (screen replacement). Outside of apple's repair program,Screen damage
Screen,Samsung,2,Cracked screen. Ordered new screen,Display issues
Screen,Apple,4,Screen cracked. Ordered new screen.,Screen damage
Screen,Apple,4,Screen cracked. Ordered new screen.,Screen damage
Charger,Samsung,unknown_age,"Device does not start. Loaded for 20 minutes for testing, device is ok. The charging cable is probably defective.",Other damage
Screen,Samsung,2,Broken screen. Replacement screen was probably broken.,Display issues
