brand,year_of_manufacture,age,repair_status,problem,fault_type
Samsung,unknown,unknown,End of life,no. clogged contact/port.,Charge port issue
Apple,unknown,unknown,Repairable,new battery in. Replace battery. Replace battery.,Battery
Samsung,2024,0,Repairable,"Virus. intermittent failure, by Ester. clean and tight.",Other damage
Apple,unknown,unknown,Repairable,WhatsApp doesn't work. App settings adjusted.,Other damage
Apple,2020,4,Repairable,"Broken glass. Cracked glass. Tape applied over sharp edges, phone function ok, customer advised of need to be careful when using. Alternative would be expensive repair by Apple.",Screen damage
Apple,2023,1,Repairable,"Glass broken. Cracked. Broken glass covered with tape to protect from sharp glass, phone function good, advised customer to be careful as phone is still fragile. Complete repair would require new screen and back glass, cost would be considerable and need to be carried out by Apple if security features were to continue to function.",Screen damage
Samsung,2021,3,Repairable,no more time. Memory? come back early in the afternoon.,Other damage
Samsung,unknown,unknown,End of life,screen broken. remove photos.,Display issues
Samsung,unknown,unknown,Repairable,remove photos.,Other damage
Apple,2023,1,Repairable,small damage on screen. need to find glass glue.,Screen damage
Apple,2010,14,Repairable,"Battery weak. Battery weak. Device opened, battery replaced.",Battery
Samsung,2019,5,End of life,No function. No function.,Other damage
Samsung,2022,2,Repairable,Something stuck in jack. Something stuck in the jack. Could get plug out. Need dismantling. Have suggested coming back when Luke is here.,Other damage
Apple,unknown,unknown,Repairable,no sound. to iPhone specialist.,Other damage
Samsung,2021,3,End of life,Battery needs replacing.,Battery issues
Apple,2020,4,Repairable,Smashed screen. Needs new screen (supplied) Fitted new screen but no display. Advised client to take to phone shop.,Screen damage
Apple,2020,4,Repairable,Battery defective. Change battery. exchanged.,Battery
Samsung,unknown,unknown,Repairable,"LCD needs replacing. Water damage, display issues and shorting amps. Advised price of LCD, client could not afford.",Display issues
Samsung,unknown,unknown,Repairable,Institutions. Institutions. Settings reset.,Other damage
Samsung,2018,6,Repairable,"Stuck in a boot loop. Not starting, going around in a loop. Did a hard reset. Battery flat so charged a little. Seems OK now.",Other damage
Apple,unknown,unknown,Repairable,HS screen. HS screen. changing the screen.,Screen damage
Samsung,unknown,unknown,Repairable,broken screen. changing the screen.,Display issues
Apple,unknown,unknown,Repairable,Not registered for MMS. Not allowing to send a photo to an Android phone since switching from Optus to Dodo. Advised them to call Dodo to register for MMS functionality.,Other damage
Samsung,2019,5,End of life,"becomes warm, replace battery. it doesn't work.",Display issues
Samsung,2022,2,End of life,email not working.,Other damage
Apple,unknown,unknown,Repairable,Email password not known. Emails not coming down. Sorted email account for Hotmail.,Other damage
Apple,unknown,unknown,Repairable,Flat batter and user config error. Won't switch on. Caps lock was permanently locked on. Battery totally flat - recharged to 20% - config adjusted for normal operations.,Battery
Samsung,unknown,unknown,Repairable,does not work (after fall) sent to phone shop.,Other damage
Samsung,unknown,unknown,Repairable,screen change. changing the screen.,Display issues
Samsung,unknown,unknown,Repairable,"Screen to change. Needs diagnosis, no longer works. Order a screen.",Display issues
Samsung,2023,1,End of life,It keeps circling back to the previous owner. login problems.,Other damage
Samsung,2014,10,Repairable,no longer charges. buy a new charger.,Other damage
Samsung,unknown,unknown,Repairable,SD card problem. card problem.,Other damage
Apple,2023,1,End of life,System blocked. Forgotten password.,Other damage
Apple,unknown,unknown,Repairable,screen to be repaired. No longer lights up. Changed the screen.,Screen damage
Samsung,2020,4,Repairable,device too old. set dates. Account set up.,Other damage
Samsung,unknown,unknown,Repairable,"No more space in memory. Such slow, memory? Update, deletion of cache files and excess apps.",Other damage
Samsung,unknown,unknown,Repairable,component change.,Display issues
Samsung,unknown,unknown,Repairable,Charging problem. Charging problem. replacement of the connector.,Battery issues
Samsung,2021,3,Repairable,A specific healthrelated app didn't startup anymore. And made the phone unresponsive? Reinstalled the problematic app.,Battery issues
Samsung,2021,3,Repairable,The software that gave the error was samsung related software that is not strictly needed. Clearning the cache or rebooting didn't solve anything. Device was fully upgraded. Software errors made browsing impossible. Problematic Samsung Software was removed? This solved the issue.,Other damage
Samsung,unknown,unknown,Repairable,Broken screen. Broken screen. screen replaced.,Display issues
Apple,2016,8,Repairable,Erase process followed to wipe data and return to factory settings. need to return to factory settings. followed erase process.,Other damage
Apple,2018,6,Repairable,data erase and reset process followed. reset to factory settings. followed reset data and wipe process.,Other damage
Samsung,unknown,unknown,Repairable,"Burnt USB connector. Connector became hot while charging, no longer works. Purchase connector and battery, replacement.",Battery issues
Samsung,unknown,unknown,Repairable,Charging socket heavily dirty. doesn't load. USB-C socket cleaned. Removed lint that prevented the plug from being inserted deeply.,Charge port issue
Samsung,unknown,unknown,Repairable,Apps need updating. Apps need updating. Showed visitor how to update their apps and how to use power saving mode. Have also advised visitor on local courses to help with digital skills.,Other damage
Samsung,2023,1,Repairable,Must receive instruction. Don't know how it works. Instructions given.,Other damage
Samsung,2018,6,Repairable,No. google Calender not updating. Installed the software.,Other damage
Samsung,unknown,unknown,Repairable,We cannot open transfer files. open on laptop.,Other damage
Samsung,2022,2,Repairable,"Issue may not be screen, may be other component that is a bit harder to get to. Needs new screen. Advised customer to return the phone to Samsung and get a repair through them, if possible, instead of changing screen as screen looked fine.",Display issues
Samsung,2024,0,Repairable,Give an explanation. Explanation needed. Explanation given how to use.,Other damage
Apple,2019,5,Repairable,screen broken. screen broken. replace screen.,Screen damage
Apple,unknown,unknown,End of life,"extensive physical damage, un repairable without extensive cost. has lines down it and cannot touch numbers.",Screen damage
Apple,unknown,unknown,End of life,phone damaged. camera not working.,Rear camera damage
Samsung,unknown,unknown,Repairable,charging connector? cleaned/emptied.,Battery issues
Samsung,unknown,unknown,Repairable,"poor connection port. charger won't fit, finicky. Used high-quality spray contact cleaner into port.",Charge port issue
Samsung,2015,9,Repairable,"Old data available, device outdated Device 2 of 2. Device should be disposed of by deleting the data. Data deleted and reset to factory settings.",Other damage
Samsung,2016,8,Repairable,"Old data available, device outdated. The device should be disposed of by deleting the data. Data deleted and factory reset device 1 of 2.",Other damage
Apple,2018,6,Repairable,restart. call history remained empty. restarted.,Other damage
Samsung,unknown,unknown,End of life,"Replacement doesn't fit. Card holder is defective, please install the new one you brought with you.",Other damage
Samsung,unknown,unknown,Repairable,battery OK but problem starting. HS battery? Factory reset.,Battery issues
Samsung,2016,8,End of life,Display defective. Display defective.,Display issues
Samsung,unknown,unknown,Repairable,"Update fails on optimisation. Won't install update. Update attempted, failed on optimisation, suggested user do update on computer, but unwilling to free up sufficient disk space, will contact to continue.",Other damage
Apple,2020,4,Repairable,"Full iCloud. iCloud full so iPhone is no longer backed up. Copied photos from phone to HP laptop, showed how to copy to external drive. Showed how to log onto iCloud, reset Apple password and suggested 0.99p per month subscription to increase 5GB iCloud to 50GB.",Other damage
Samsung,2022,2,Repairable,No dates. No photos. Data transferred.,Other damage
Apple,2018,6,End of life,Cracked Screen.,Screen damage
Apple,unknown,unknown,Repairable,yes. cannot work some functions. explained how to use it.,Other damage
Samsung,unknown,unknown,End of life,does not stop.,Battery issues
Apple,unknown,unknown,Repairable,"Battery weak. Battery is weak. Device opened, battery replaced.",Battery
Samsung,2019,4,Repairable,"SOFTWARE PROBLEM WITH OUTLOOK. OUTLOOK ISSUES ON PHONE. REMOVED APP, RE-ADDED CORRECTLY SETUP SYNC.",Other damage
Samsung,unknown,unknown,Repairable,No. Digid does not work. Everything works fine.,Other damage
Samsung,2017,6,Repairable,Loose contact. Loading doesn't work. Spare part must be ordered; Advice from colleague.,Display issues
Samsung,unknown,unknown,Repairable,data transfer. data transfer.,Other damage
Samsung,2019,4,Repairable,"Soaking wet, corroded. Doesn't work anymore - fell into the water. Take it to a specialist to extract data.",Other damage
Samsung,unknown,unknown,Repairable,Screen broken. Referred to phone shop.,Display issues
Samsung,2020,3,End of life,Screen defective. Screen no longer works.,Display issues
Samsung,unknown,unknown,End of life,no sound with Google navigation.,Other damage
Samsung,2018,5,Repairable,Time adjustment on watch. Scams emails and time on connected watch. Changed time and reset watch.,Other damage
Apple,2019,4,End of life,Sim not connecting. Sim not connecting.,Other damage
Apple,unknown,unknown,Repairable,wrong setting. no bell sound.,Other damage
Apple,unknown,unknown,Repairable,no. microphone bad. Tested and works fine - advice that the other party should turn up the loudspeaker.,Other damage
Samsung,2020,3,Repairable,Part replaced. Broken screen. waiting for another part.,Display issues
Samsung,2010,13,Repairable,"The recipient number was a landline number, WhatsApp only works with a mobile number. WhatsApp error message for a recipient. Customer informed about the necessary mobile number for WhatsApp.",Other damage
Samsung,unknown,unknown,End of life,"APP Gallery corrupted. The phone needs to be factory reset. But since it otherwise works, this wasn't done. APP “Gallery” always crashes.",Display issues
Samsung,2018,5,End of life,moisture in the phone. does not start due to moisture.,Battery issues
Samsung,2021,2,Repairable,"Device OK, user error. Can't delete WhatsApp messages; Unknown how to print photos. Users informed about device operation.",Other damage
Samsung,2021,2,Repairable,reinstalled. apps do not function properly.,Other damage
Samsung,unknown,unknown,Repairable,Battery to be replaced. Don't charge anymore. Battery purchase and battery sticker by visitor. Opening and changing battery. closure with original adhesive OK.,Battery issues
Samsung,unknown,unknown,End of life,Tel blocked by the lock pattern.,Display issues
Apple,unknown,unknown,End of life,possible software issue - recommend repair shop as needs specialist tools. when tried with different chargers the screen blinks and keeps turning on and off.,Screen damage
Apple,2012,11,End of life,HS motherboard. Doesn't work. return for diagnosis.,Other damage
Samsung,unknown,unknown,End of life,screen broken - needs professional service. screen broken.,Display issues
Samsung,unknown,unknown,Repairable,needed chargin. won't power up. charged for 30 mins - advised buy missing sim tray.,Other damage
Apple,2020,3,Repairable,"Dark mode won't turn off. Permanently darkened screen. Google for ""iPhone stuck in dark mode"" - Smart Invert needed turning off.",Other damage
Samsung,unknown,unknown,Repairable,Blocked. Return with discharged phone.,Other damage
Samsung,2013,6,Repairable,SIM has been removed. it doesn't work anymore. reinstalled.,Other damage
Samsung,2012,11,End of life,planned obsolescence. The update is only possible until 2018. Operating system update does not work. Cannot validate payment on tel.,Other damage
Samsung,unknown,unknown,End of life,no power. new battery.,Battery issues
Samsung,2018,5,Repairable,"does not turn on, by Jesús Carrasco. change.",Display issues
Apple,unknown,unknown,Repairable,defective screen. screen broken. new screen installed.,Screen damage
Samsung,unknown,unknown,Repairable,ADAPTER AND CORD DEFECTIVE. not charging. new adapter and cord connected.,Charge port issue
Samsung,2015,4,Repairable,defective battery. not charging. new battery installed.,Battery issues
Apple,2018,5,Repairable,"Lots of processes running in background. Battery running down when not in use. Checked batter health, still 90%. Identified process that were consuming battery and showed user how to disable them, but needed mother to override parental controls to allow her to switch background processes off.",Battery
Samsung,unknown,unknown,Repairable,Batteris HS. HS battery. Battery to change.,Battery issues
Samsung,2020,3,Repairable,charging port. does not charge. no way to remove back without risk of breaking case - owner to remove case and return.,Other damage
Samsung,unknown,unknown,Repairable,Phone was no longer usable due to various notifications from browser and games apps. Remove notification. All spam software removed.,Other damage
Apple,unknown,unknown,Repairable,"Touch screen faulty, camera faulty. Screen jumping and shutting down. Suggested taking it to local phone repair centre.",Screen damage
Samsung,unknown,unknown,Repairable,battery problem. oriented towards auchan.,Battery issues
Samsung,unknown,unknown,Repairable,no. Replace SIM card. Replace SIM card.,Other damage
Apple,unknown,unknown,Repairable,"want to take google maps offline. explanation of mobile data on/off, setting home address.",Other damage
Apple,unknown,unknown,Repairable,"Icloud backup no longer works. deposit money and update Icloud, set up your password.",Other damage
Apple,2017,6,End of life,after water leakage it doesn't work. Have to go to phone shop for repair to access memory.,Screen damage
Samsung,unknown,unknown,Repairable,clicked ok on the update message.,Display issues
Samsung,2015,3,Repairable,Scan. Setting. Settings changed.,Other damage
Apple,2015,3,Repairable,Network not responding. Fallen into water. SIM card needs to dry.,Other damage
Samsung,2014,4,Repairable,Have data transferred from Microsoft to Samsung. Unknown. SIM card Smartphone exchanged.,Other damage
Samsung,2000,20,Repairable,Please set up internet. Advice given about smartphone browser and advised to contact Ziggo for WiFi at home.,Other damage
Samsung,2013,10,Repairable,"Broken charger connector and loose cable. Broken charger connector, Socorro. Solder the cable and seal the connector with epoxy putty.",Display issues
Apple,unknown,unknown,Repairable,battery to change.,Battery
Apple,unknown,unknown,Repairable,Needed help with using. Need help with Airdrop. Provided with education on using the application.,Other damage
Apple,unknown,unknown,Repairable,Needed Help with app. Need help with Airdrop. Provided education with application.,Other damage
Apple,2022,1,Repairable,"Blank lock screen can't tell if phone off. Goes blank. Blank lock screen could be. Blank lock screen could be because no image selected, suggested owner add a photo to overcome blank screen.",Screen damage
Apple,unknown,unknown,Repairable,"how do you take photos? collages? explanation, advice given.",Other damage
Samsung,unknown,unknown,End of life,Connector problem. Requires pressure to charge.,Battery issues
Samsung,2018,4,Repairable,Continue playing without deleting (?) Explanation of operation given.,Other damage
Samsung,2017,5,Repairable,"?. displays ""alarming messages"" apps installed and menus modified.",Other damage
Apple,2015,7,Repairable,Sim card. Sim card. checked sim card slot.,Other damage
Samsung,2020,2,Repairable,Software. Unknown.,Other damage
Samsung,2019,3,Repairable,"how to install Stocard. Stocard installed, shortcuts rearranged.",Other damage
Apple,2012,10,End of life,see above. Lost ID need reset.,Other damage
Samsung,2016,6,End of life,batterie hs. Batterie HS.,Other damage
Samsung,2015,7,Repairable,outdated application. impossible to send emails. Application change.,Other damage
Samsung,unknown,unknown,Repairable,no longer starts. force restart in debug mode.,Other damage
Apple,unknown,unknown,Repairable,broken screen. give the reference of the screen to purchase.,Screen damage
Apple,unknown,unknown,End of life,Battery no longer works.,Battery
Samsung,unknown,unknown,Repairable,Lost photos. Lost photos. Transfer/upload photos.,Other damage
Samsung,2022,0,Repairable,"Install SIM and protective film. SIM card, memory, screen protection installed.",Other damage
Apple,2015,7,End of life,Bad home button. Home button working poorly.,Other damage
Samsung,unknown,unknown,End of life,Non-repairable product. Broken earphone jack.,Other damage
Samsung,2017,5,Repairable,Samsung sometimes indicates that there is moisture in the charging connector. Indicates charging error. USE ANOTHER CABLE.,Other damage
Samsung,2016,6,End of life,"No, it does charge with a wireless charger but the screen does not turn on. It doesn't turn on and has a broken charging connector, from Vicenta.",Battery issues
Samsung,2012,10,End of life,Dead phone. Would not turn on.,Battery issues
Samsung,2014,8,Repairable,"Dirty and defective power connector, from Vicenta CdC. The piece needs to be replaced since it does not recharge well.",Display issues
Apple,2016,6,Repairable,"SIM not recongised by mobile network. No mobile connection. Swapped with my own SIM, mobile signal then showed up, so adviced to go to Vodafone Shop and requesting a functioning SIM to replace non-functioning SIM.",Other damage
Apple,unknown,unknown,Repairable,"Already blank. Needs to be blanked for reuse. Able to confirm was already blanked, pointed owner to Google / Apple / Youtube to find information about such issues in future.",Other damage
Apple,unknown,unknown,Repairable,probably a fault with the provider. verification SMS does not arrive. sent an email and waited.,Other damage
Samsung,2017,5,Repairable,Charger cord is broken. Doesn't charge anymore. Buy micro USB stick.,Charge port issue
Apple,unknown,unknown,Repairable,Not charging. Not charging.,Battery
Apple,unknown,unknown,End of life,Charge port damaged. Wonky phone charge port.,Battery
Apple,unknown,unknown,Repairable,HS BATTERY. NEW BATTERY.,Battery
Samsung,2017,5,End of life,HS screen. fallen screen no longer works.,Display issues
Samsung,unknown,unknown,Repairable,no sms possible. SMS set as default.,Other damage
Samsung,unknown,unknown,Repairable,Screen to change. Screen to change. Fairly easy repair to do in 20 to 30 minutes. You have to proceed in order.,Display issues
Apple,2000,22,Repairable,Set emails up via imap. gave advice on slow apps and upgrading devices. emails not working.,Other damage
Apple,unknown,unknown,Repairable,Battery worn out. Battery swollen. Replace battery.,Battery
Samsung,2016,5,End of life,Not found. Battery works. On/off too. Phone no longer starts. phone broken. Can we remove the photos?,Other damage
Apple,unknown,unknown,Repairable,New battery fitted.,Battery
Samsung,unknown,unknown,Repairable,Screen is cracked. Needs to be replaced. None of the repairmen dare to carry out the repair. Advice: come back when Jeffrye or Nazif is there.,Display issues
Apple,unknown,unknown,Repairable,battery defective. battery. replace battery.,Battery
Samsung,unknown,unknown,End of life,Cracked window + HS battery. Does not hold electrical charge.,Battery issues
Apple,unknown,unknown,Repairable,Forgotten password. I Cloud account connection problem. New code requested from APPLE.,Other damage
Apple,unknown,unknown,End of life,Home button refuses service.,Other damage
Apple,2019,2,Repairable,Battery. Battery drains quickly. Replace battery.,Battery
Samsung,unknown,unknown,Repairable,filthy. don't charge. entrance cleaned.,Battery issues
Apple,2018,3,Repairable,The screw inside the tap vibrator has vibrated a bit too loose. Home button loud noise. Tightened the screw on the tap vibrator.,Other damage
Samsung,unknown,unknown,Repairable,glass piece. glass piece. New glass installed (already ordered),Display issues
Samsung,unknown,unknown,Repairable,filthy. no longer charging. cleaned.,Other damage
Apple,unknown,unknown,Repairable,"battery. Advise regarding battery repair, advising against Iphone to encourage reparability.",Battery
Samsung,unknown,unknown,Repairable,apps installed.,Other damage
Apple,unknown,unknown,Repairable,Broken screen replaced. Broken screen.,Screen damage
Samsung,unknown,unknown,Repairable,LCD screen damaged. Screen cracked and black. Return next time.,Display issues
Apple,unknown,unknown,Repairable,Defective cable (needs to be changed) Checking the charger. The visitor buys a new cable. The visitor buys a new cable.,Other damage
Apple,unknown,unknown,Repairable,repair status unknown.,Other damage
Apple,unknown,unknown,Repairable,HS battery. Mrs. Virginie Nonnet: device Cuts off after a few seconds. Tips on buying a battery.,Battery
Samsung,2015,4,Repairable,"Power block defective. not turning on. need new power block, possibly new batteries.",Battery issues
Apple,2015,4,Repairable,"power block defective. power issues. need new power block, possibly new batteries.",Battery
Apple,2016,4,End of life,WiFi network is not responding. No WiFi. reset performed.,Other damage
Apple,2017,3,Repairable,Screen glass cracked. Replace screen.,Screen damage
Samsung,unknown,unknown,End of life,dead.,Other damage
Apple,unknown,unknown,Repairable,doesn't load. Dust afterwards.,Other damage
Apple,2018,2,Repairable,Replace battery and screen. Phone often falls out and screen is cracked. Replace.,Screen damage
Apple,2012,8,Repairable,Broken screen. Screen change.,Screen damage
Samsung,unknown,unknown,End of life,he doesn't answer anymore.,Other damage
Apple,2016,4,End of life,Water Damage.,Other damage
Samsung,unknown,unknown,Repairable,Suggested factory reset. screen black.,Display issues
Samsung,unknown,unknown,Repairable,suggested install malware. hijacked by an app with adds.,Other damage
Samsung,unknown,unknown,End of life,Flickered and died over a 2 month period.,Other damage
Samsung,unknown,unknown,Repairable,Charging issue. Either battery charging part or dissembled for customer to deal with battery.,Battery issues
Apple,unknown,unknown,Repairable,"I phone, A Nokias, A samsung and a Motorola all need re setting. All phones returned to factory settings.",Other damage
Apple,unknown,unknown,End of life,WhatsApp is not installed. whatsapp doesn't work.,Other damage
Apple,2012,8,Repairable,Screen broken. New screen.,Screen damage
Samsung,unknown,unknown,End of life,broken cable. Touchpad doesn't work.,Display issues
Samsung,unknown,unknown,End of life,Not found. No function.,Other damage
Apple,unknown,unknown,End of life,"Difficult diagnosis: charging cable missing, battery almost empty. ask if it can be repaired.",Battery
Samsung,unknown,unknown,Repairable,No power. New Battery ordered and fit for Visitor.,Battery issues
Samsung,unknown,unknown,End of life,Display.,Display issues
Samsung,2016,4,Repairable,"no contact charger. going back to the store, it was repaired last week. Warranty. USB port not soldered properly.",Charge port issue
Samsung,2016,4,Repairable,password setting. it doesn't work well anymore. new password set.,Other damage
Apple,2017,3,Repairable,Broken back camera and flashlight. refer good repair places.,Screen damage
Apple,2015,5,Repairable,"want to make 1 working phone from 3. screen cracked. swapped the screen, camera and home button.",Screen damage
Samsung,unknown,unknown,Repairable,Transfer data. Transfer data. All data transferred to new phone.,Other damage
Apple,2015,5,End of life,"1. All screws were included loose, too great a risk to replace. 2. Update via iTunes failed (error 78), put screen on and suspected software problem.",Other damage
Apple,2016,3,Repairable,Screen damaged. Replaced Screen for Customer.,Screen damage
Apple,2016,3,End of life,screen defective. won't turn on and freezes.,Screen damage
Apple,2015,4,Repairable,home button defective. cable broken. this can be repaired and replaced.,Other damage
Samsung,2017,2,Repairable,not yet set up properly. ringtone with train sounds not working. set.,Other damage
Samsung,unknown,unknown,End of life,Doesn't work anymore (fallen),Other damage
Samsung,2017,2,Repairable,Software and/or Android. Device keeps restarting.,Other damage
Samsung,unknown,unknown,End of life,broken window.,Display issues
Apple,2012,7,Repairable,wires loose. cord reattached.,Other damage
Apple,2015,4,Repairable,"Screen broken. Screen broken, streaks on LCD. Replace screen.",Screen damage
Apple,2012,7,Repairable,Battery bad. battery bad.,Battery
Apple,2015,4,Repairable,New screen needed. Client ordered wrong part however advised them of right one for return visit.,Screen damage
Samsung,unknown,unknown,Repairable,"does not start. nothing can be done about it, because the operating system version is no longer supported.",Other damage
Apple,unknown,unknown,Repairable,Cracked screen. Several local shops specialise in replacing screen.,Screen damage
Apple,unknown,unknown,Repairable,"screen cracked. Did not start due to lack of time, will come later.",Screen damage
Samsung,2018,1,End of life,"Screen broken. Stains on screen, now no image.",Display issues
Samsung,unknown,unknown,Repairable,difficulty with new technology. whatsapp not working. explained how it works.,Other damage
Apple,unknown,unknown,Repairable,Needs new battery. Battery needs replacing. Replaced battery.,Battery
Samsung,unknown,unknown,Repairable,not working. Full access enabled on operating system.,Other damage
Samsung,2015,4,End of life,Doesn't charge. Keeps falling out.,Battery issues
Samsung,2016,3,End of life,moisture problem. dropped phone in water.,Other damage
Samsung,unknown,unknown,Repairable,screen cracked and back light not working. screen replaced but it crocked again.,Display issues
Apple,unknown,unknown,Repairable,Software.,Other damage
Samsung,unknown,unknown,End of life,phone gets hot.,Battery issues
Apple,unknown,unknown,Repairable,Battery needs replacing. Battery issue. New battery to be bought and phone brought back next time.,Battery
Apple,unknown,unknown,Repairable,Battery needs replacing. Battery needs replacing. Buy a new battery and get fitted at Repair Cafe.,Battery
Samsung,unknown,unknown,Repairable,remove photos. transferred photos via Bluetooth to another phone and reset GSM S7390.,Other damage
Samsung,unknown,unknown,Repairable,please set up properly and install apps. settings checked and set correctly.,Other damage
Apple,2016,3,Repairable,phone broken. phone doesn't turn on. Visit Apple.,Battery
Samsung,2017,2,Repairable,screen broken. screen broken. order screen and then come back.,Display issues
Apple,2015,4,Repairable,Replace battery. Battery worn out. Replace battery.,Battery
Samsung,unknown,unknown,Repairable,no screen. no screen. screen is ordered by customer.,Display issues
Samsung,2011,8,Repairable,data via SIM. advice on data transfer. Google account/Gmail transferred.,Other damage
Samsung,unknown,unknown,Repairable,"Screen broken. Screen broken. Ordered the screen, put in the following repair.",Display issues
Apple,unknown,unknown,Repairable,Battery old. Replace battery.,Battery
Samsung,unknown,unknown,Repairable,Advice. Advice. Advice given.,Other damage
Apple,unknown,unknown,Repairable,Screen cracked. Replace screen.,Screen damage
Apple,unknown,unknown,Repairable,Screen broken and battery too old. Replaced screen and battery too.,Screen damage
Apple,unknown,unknown,Repairable,Screen broken. Replace screen.,Screen damage
Apple,2015,4,Repairable,"does not open. sim was stuck, holder loosened.",Other damage
Apple,unknown,unknown,Repairable,check battery. replace battery.,Battery
Apple,2018,0,End of life,No idea. Cannot send messages.,Other damage
Samsung,unknown,unknown,End of life,time/date wrong.,Other damage
Apple,2015,3,Repairable,home button doesn't wake up. home button not working. hardware defect.,Other damage
Apple,unknown,unknown,Repairable,"frame dislocated, glass defective. protective edge loose. buy new glass.",Screen damage
Apple,unknown,unknown,Repairable,LCD glass defective. screen damaged. replaced LCD.,Screen damage
Apple,2014,4,Repairable,doesn't work anymore. cleaned.,Other damage
Apple,unknown,unknown,Repairable,The back falls off. Referral to telephone repairman.,Other damage
Samsung,unknown,unknown,End of life,does not turn on.,Battery issues
Samsung,2018,0,Repairable,Setting. Screen locked. Went through settings with customer.,Display issues
Samsung,2013,5,Repairable,Screen of one device broken. Transfer screen from one phone to another. Replace screen from broken to working.,Display issues
Apple,2013,5,Repairable,Network disorder.,Other damage
Apple,2010,8,Repairable,water damage.,Other damage
Samsung,unknown,unknown,Repairable,"A symbol remains on the display, which means that someone has called. It doesn't want to go away. Customer advised to clean software. Explained how to do that.",Display issues
Samsung,2017,1,End of life,remains on home screen.,Display issues
Samsung,2014,4,Repairable,Charging connection --> pin bent. Plug connected incorrectly. Place the plug at a different angle.,Charge port issue
Samsung,2012,6,Repairable,falls back into login mode. PIN code confirmation disabled.,Other damage
Apple,unknown,unknown,Repairable,make a backup. helped with backup settings.,Other damage
Apple,unknown,unknown,Repairable,"A new battery has been installed, but the device no longer works. Battery defective and replaced by customer himself.",Battery
Apple,2012,6,Repairable,doesn't turn on anymore. possible battery problem. referred to GSM Delft.,Battery
Samsung,2017,1,Repairable,Explanation. Unknown. How to uninstall an app etc.,Other damage
Apple,unknown,unknown,Repairable,not loading. USB cable piece.,Other damage
Samsung,2013,4,Repairable,No sound on messages. Settings-application manager-BBM-show notifications tapped.,Other damage
Apple,2010,8,Repairable,battery drains quickly. old age. replace battery.,Battery
Samsung,2000,17,Repairable,"glass broken. traps. Touchscreen broke during repair, buy a new screen.",Display issues
Apple,2010,8,Repairable,"The battery is old and drains quickly. Old battery. The lady advised us to order a battery, we can put it in the phone at the next repair cafe.",Battery
Apple,unknown,unknown,Repairable,defective. known. forwarded to RepairDirect.nl.,Other damage
Apple,unknown,unknown,Repairable,screen and home button broken. screen and home button replaced.,Screen damage
Apple,2013,4,Repairable,Check settings. Unknown. Apple Store.,Other damage
Apple,2016,2,Repairable,help with institutions. assistance with institutions.,Other damage
Apple,unknown,unknown,Repairable,don't know how to update. lack of knowledge. helped update to 11.0.3.,Other damage
Apple,2016,1,Repairable,"Bad battery, please order a new battery. Unknown. Ordered and installed new battery.",Battery
Samsung,unknown,unknown,Repairable,Installing Airwatch failed. ?? We will look up the solution and then email it to you.,Other damage
Samsung,2016,1,Repairable,motherboard is broken. it needs a new motherboard.,Other damage
Samsung,unknown,unknown,End of life,battery? phone no longer turns on.,Battery issues
Samsung,unknown,unknown,Repairable,"it doesn't work. battery empty. battery given an electric shock, advice to then charge for 24 hours.",Battery issues
Samsung,2013,4,Repairable,"weather program did not work and date is incorrect. no internet connection. logged into wifi, the program needed internet to work.",Other damage
Samsung,2015,2,Repairable,Battery not charging. Loose battery. Battery secured.,Battery issues
Apple,2016,1,End of life,Screen is black. No idea.,Screen damage
Apple,2016,1,Repairable,unfamiliar with settings. age. help with institutions.,Other damage
Apple,unknown,unknown,Repairable,it doesn't work. unknown. helped with switching on and installing.,Other damage
Apple,2016,1,Repairable,difficulty with settings. illiterate. help with institutions.,Other damage
Apple,unknown,unknown,Repairable,Mobile - Mic problem - Tried cardboard hack and failed.,Other damage
Samsung,unknown,unknown,Repairable,Mobile - Configuration problem -,Other damage
Samsung,unknown,unknown,End of life,Mobile - -,Other damage
Apple,unknown,unknown,Repairable,Mobile - No sound output -,Other damage
Samsung,unknown,unknown,Repairable,Mobile - Gets no power -,Battery issues
Samsung,unknown,unknown,Repairable,Mobile - Won't boot -,Other damage
Apple,unknown,unknown,End of life,Mobile - Switch problem -,Other damage
Samsung,unknown,unknown,End of life,Mobile - Bricked -,Other damage
Apple,unknown,unknown,Repairable,Mobile - No power -,Battery
Samsung,unknown,unknown,End of life,Mobile - Battery issue -,Battery issues
Samsung,unknown,unknown,End of life,Mobile - No power -,Battery issues
Samsung,unknown,unknown,End of life,Mobile - Bricked -,Other damage
Apple,unknown,unknown,Repairable,Mobile - Screen issue - Not enough time.,Screen damage
Apple,unknown,unknown,End of life,Mobile - No SIM card recognition -,Other damage
Samsung,unknown,unknown,End of life,Mobile - Won't boot - Not enough time.,Other damage
Samsung,unknown,unknown,Repairable,Mobile - Firmware issue -,Other damage
Apple,unknown,unknown,Repairable,Mobile - Screen issue - needs a new part.,Screen damage
Apple,unknown,unknown,Repairable,Mobile - screen issue - Spare part needed.,Screen damage
Samsung,unknown,unknown,Repairable,Mobile - Screen issue - Referred to professional.,Display issues
Samsung,unknown,unknown,Repairable,Mobile - Home button - Needs more work.,Other damage
Apple,unknown,unknown,Repairable,Mobile - Home button/Power switch - Needs spare part - DIY ready.,Battery
