brand,year_of_manufacture,age,repair_status,problem
Samsung,2021,3,Repairable,The software that gave the error was samsung related software that is not strictly needed. Clearning the cache or rebooting didn't solve anything. Device was fully upgraded. Software errors made browsing impossible. Problematic Samsung Software was removed? This solved the issue.
Samsung,unknown,unknown,Repairable,Broken screen. Broken screen. screen replaced.
Apple,2016,8,Repairable,Erase process followed to wipe data and return to factory settings. need to return to factory settings. followed erase process.
Apple,2018,6,Repairable,data erase and reset process followed. reset to factory settings. followed reset data and wipe process.
Samsung,unknown,unknown,Repairable,"Burnt USB connector. Connector became hot while charging, no longer works. Purchase connector and battery, replacement."
Samsung,unknown,unknown,Repairable,Charging socket heavily dirty. doesn't load. USB-C socket cleaned. Removed lint that prevented the plug from being inserted deeply.
Samsung,unknown,unknown,Repairable,Apps need updating. Apps need updating. Showed visitor how to update their apps and how to use power saving mode. Have also advised visitor on local courses to help with digital skills.
Samsung,2023,1,Repairable,Must receive instruction. Don't know how it works. Instructions given.
Samsung,2018,6,Repairable,No. google Calender not updating. Installed the software.
Samsung,unknown,unknown,Repairable,We cannot open transfer files. open on laptop.
Samsung,2022,2,Repairable,"Issue may not be screen, may be other component that is a bit harder to get to. Needs new screen. Advised customer to return the phone to Samsung and get a repair through them, if possible, instead of changing screen as screen looked fine."
Samsung,2024,0,Repairable,Give an explanation. Explanation needed. Explanation given how to use.
Apple,2019,5,Repairable,screen broken. screen broken. replace screen.
Apple,unknown,unknown,End of life,"extensive physical damage, un repairable without extensive cost. has lines down it and cannot touch numbers."
Apple,unknown,unknown,End of life,phone damaged. camera not working.
Samsung,unknown,unknown,Repairable,charging connector? cleaned/emptied.
Samsung,unknown,unknown,Repairable,"poor connection port. charger won't fit, finicky. Used high-quality spray contact cleaner into port."
Samsung,2015,9,Repairable,"Old data available, device outdated Device 2 of 2. Device should be disposed of by deleting the data. Data deleted and reset to factory settings."
Samsung,2016,8,Repairable,"Old data available, device outdated. The device should be disposed of by deleting the data. Data deleted and factory reset device 1 of 2."
Apple,2018,6,Repairable,restart. call history remained empty. restarted.
Samsung,unknown,unknown,End of life,"Replacement doesn't fit. Card holder is defective, please install the new one you brought with you."
Samsung,unknown,unknown,Repairable,battery OK but problem starting. HS battery? Factory reset.
Samsung,2016,8,End of life,Display defective. Display defective.
Samsung,unknown,unknown,Repairable,"Update fails on optimisation. Won't install update. Update attempted, failed on optimisation, suggested user do update on computer, but unwilling to free up sufficient disk space, will contact to continue."
Apple,2020,4,Repairable,"Full iCloud. iCloud full so iPhone is no longer backed up. Copied photos from phone to HP laptop, showed how to copy to external drive. Showed how to log onto iCloud, reset Apple password and suggested 0.99p per month subscription to increase 5GB iCloud to 50GB."
Samsung,2022,2,Repairable,No dates. No photos. Data transferred.
Apple,2018,6,End of life,Cracked Screen.
Apple,unknown,unknown,Repairable,yes. cannot work some functions. explained how to use it.
Samsung,unknown,unknown,End of life,does not stop.
Apple,unknown,unknown,Repairable,"Battery weak. Battery is weak. Device opened, battery replaced."
Samsung,2019,4,Repairable,"SOFTWARE PROBLEM WITH OUTLOOK. OUTLOOK ISSUES ON PHONE. REMOVED APP, RE-ADDED CORRECTLY SETUP SYNC."
Samsung,unknown,unknown,Repairable,No. Digid does not work. Everything works fine.
Samsung,2017,6,Repairable,Loose contact. Loading doesn't work. Spare part must be ordered; Advice from colleague.
Samsung,unknown,unknown,Repairable,data transfer. data transfer.
Samsung,2019,4,Repairable,"Soaking wet, corroded. Doesn't work anymore - fell into the water. Take it to a specialist to extract data."
Samsung,unknown,unknown,Repairable,Screen broken. Referred to phone shop.
Samsung,2020,3,End of life,Screen defective. Screen no longer works.
Samsung,unknown,unknown,End of life,no sound with Google navigation.
Samsung,2018,5,Repairable,Time adjustment on watch. Scams emails and time on connected watch. Changed time and reset watch.
Apple,2019,4,End of life,Sim not connecting. Sim not connecting.
Apple,unknown,unknown,Repairable,wrong setting. no bell sound.
Apple,unknown,unknown,Repairable,no. microphone bad. Tested and works fine - advice that the other party should turn up the loudspeaker.
Samsung,2020,3,Repairable,Part replaced. Broken screen. waiting for another part.
Samsung,2010,13,Repairable,"The recipient number was a landline number, WhatsApp only works with a mobile number. WhatsApp error message for a recipient. Customer informed about the necessary mobile number for WhatsApp."
Samsung,unknown,unknown,End of life,"APP Gallery corrupted. The phone needs to be factory reset. But since it otherwise works, this wasn't done. APP “Gallery” always crashes."
Samsung,2018,5,End of life,moisture in the phone. does not start due to moisture.
Samsung,2021,2,Repairable,"Device OK, user error. Can't delete WhatsApp messages; Unknown how to print photos. Users informed about device operation."
Samsung,2021,2,Repairable,reinstalled. apps do not function properly.
Samsung,unknown,unknown,Repairable,Battery to be replaced. Don't charge anymore. Battery purchase and battery sticker by visitor. Opening and changing battery. closure with original adhesive OK.
Samsung,unknown,unknown,End of life,Tel blocked by the lock pattern.
Apple,unknown,unknown,End of life,possible software issue - recommend repair shop as needs specialist tools. when tried with different chargers the screen blinks and keeps turning on and off.
Apple,2012,11,End of life,HS motherboard. Doesn't work. return for diagnosis.
Samsung,unknown,unknown,End of life,screen broken - needs professional service. screen broken.
Samsung,unknown,unknown,Repairable,needed chargin. won't power up. charged for 30 mins - advised buy missing sim tray.
Apple,2020,3,Repairable,"Dark mode won't turn off. Permanently darkened screen. Google for ""iPhone stuck in dark mode"" - Smart Invert needed turning off."
Samsung,unknown,unknown,Repairable,Blocked. Return with discharged phone.
Samsung,2013,6,Repairable,SIM has been removed. it doesn't work anymore. reinstalled.
Samsung,2012,11,End of life,planned obsolescence. The update is only possible until 2018. Operating system update does not work. Cannot validate payment on tel.
Samsung,unknown,unknown,End of life,no power. new battery.
Samsung,2018,5,Repairable,"does not turn on, by Jesús Carrasco. change."
Apple,unknown,unknown,Repairable,defective screen. screen broken. new screen installed.
Samsung,unknown,unknown,Repairable,ADAPTER AND CORD DEFECTIVE. not charging. new adapter and cord connected.
Samsung,2015,4,Repairable,defective battery. not charging. new battery installed.
Apple,2018,5,Repairable,"Lots of processes running in background. Battery running down when not in use. Checked batter health, still 90%. Identified process that were consuming battery and showed user how to disable them, but needed mother to override parental controls to allow her to switch background processes off."
Samsung,unknown,unknown,Repairable,Batteris HS. HS battery. Battery to change.
Samsung,2020,3,Repairable,charging port. does not charge. no way to remove back without risk of breaking case - owner to remove case and return.
Samsung,unknown,unknown,Repairable,Phone was no longer usable due to various notifications from browser and games apps. Remove notification. All spam software removed.
Apple,unknown,unknown,Repairable,"Touch screen faulty, camera faulty. Screen jumping and shutting down. Suggested taking it to local phone repair centre."
Samsung,unknown,unknown,Repairable,battery problem. oriented towards auchan.
Samsung,unknown,unknown,Repairable,no. Replace SIM card. Replace SIM card.
Apple,unknown,unknown,Repairable,"want to take google maps offline. explanation of mobile data on/off, setting home address."
Apple,unknown,unknown,Repairable,"Icloud backup no longer works. deposit money and update Icloud, set up your password."
Apple,2017,6,End of life,after water leakage it doesn't work. Have to go to phone shop for repair to access memory.
Samsung,unknown,unknown,Repairable,clicked ok on the update message.
Samsung,2015,3,Repairable,Scan. Setting. Settings changed.
Apple,2015,3,Repairable,Network not responding. Fallen into water. SIM card needs to dry.
Samsung,2014,4,Repairable,Have data transferred from Microsoft to Samsung. Unknown. SIM card Smartphone exchanged.
Samsung,2000,20,Repairable,Please set up internet. Advice given about smartphone browser and advised to contact Ziggo for WiFi at home.
Samsung,2013,10,Repairable,"Broken charger connector and loose cable. Broken charger connector, Socorro. Solder the cable and seal the connector with epoxy putty."
Apple,unknown,unknown,Repairable,battery to change.
Apple,unknown,unknown,Repairable,Needed help with using. Need help with Airdrop. Provided with education on using the application.
Apple,unknown,unknown,Repairable,Needed Help with app. Need help with Airdrop. Provided education with application.
Apple,2022,1,Repairable,"Blank lock screen can't tell if phone off. Goes blank. Blank lock screen could be. Blank lock screen could be because no image selected, suggested owner add a photo to overcome blank screen."
Apple,unknown,unknown,Repairable,"how do you take photos? collages? explanation, advice given."
Samsung,unknown,unknown,End of life,Connector problem. Requires pressure to charge.
Samsung,2018,4,Repairable,Continue playing without deleting (?) Explanation of operation given.
Samsung,2017,5,Repairable,"?. displays ""alarming messages"" apps installed and menus modified."
Apple,2015,7,Repairable,Sim card. Sim card. checked sim card slot.
Samsung,2020,2,Repairable,Software. Unknown.
Samsung,2019,3,Repairable,"how to install Stocard. Stocard installed, shortcuts rearranged."
Apple,2012,10,End of life,see above. Lost ID need reset.
Samsung,2016,6,End of life,batterie hs. Batterie HS.
Samsung,2015,7,Repairable,outdated application. impossible to send emails. Application change.
Samsung,unknown,unknown,Repairable,no longer starts. force restart in debug mode.
Apple,unknown,unknown,Repairable,broken screen. give the reference of the screen to purchase.
Apple,unknown,unknown,End of life,Battery no longer works.
Samsung,unknown,unknown,Repairable,Lost photos. Lost photos. Transfer/upload photos.
Samsung,2022,0,Repairable,"Install SIM and protective film. SIM card, memory, screen protection installed."
Apple,2015,7,End of life,Bad home button. Home button working poorly.
Samsung,unknown,unknown,End of life,Non-repairable product. Broken earphone jack.
Samsung,2017,5,Repairable,Samsung sometimes indicates that there is moisture in the charging connector. Indicates charging error. USE ANOTHER CABLE.
Samsung,2016,6,End of life,"No, it does charge with a wireless charger but the screen does not turn on. It doesn't turn on and has a broken charging connector, from Vicenta."
Samsung,2012,10,End of life,Dead phone. Would not turn on.
Samsung,2014,8,Repairable,"Dirty and defective power connector, from Vicenta CdC. The piece needs to be replaced since it does not recharge well."
Apple,2016,6,Repairable,"SIM not recongised by mobile network. No mobile connection. Swapped with my own SIM, mobile signal then showed up, so adviced to go to Vodafone Shop and requesting a functioning SIM to replace non-functioning SIM."
Apple,unknown,unknown,Repairable,"Already blank. Needs to be blanked for reuse. Able to confirm was already blanked, pointed owner to Google / Apple / Youtube to find information about such issues in future."
Apple,unknown,unknown,Repairable,probably a fault with the provider. verification SMS does not arrive. sent an email and waited.
Samsung,2017,5,Repairable,Charger cord is broken. Doesn't charge anymore. Buy micro USB stick.
Apple,unknown,unknown,Repairable,Not charging. Not charging.
Apple,unknown,unknown,End of life,Charge port damaged. Wonky phone charge port.
Apple,unknown,unknown,Repairable,HS BATTERY. NEW BATTERY.
Samsung,2017,5,End of life,HS screen. fallen screen no longer works.
Samsung,unknown,unknown,Repairable,no sms possible. SMS set as default.
Samsung,unknown,unknown,Repairable,Screen to change. Screen to change. Fairly easy repair to do in 20 to 30 minutes. You have to proceed in order.
Apple,2000,22,Repairable,Set emails up via imap. gave advice on slow apps and upgrading devices. emails not working.
Apple,unknown,unknown,Repairable,Battery worn out. Battery swollen. Replace battery.
Samsung,2016,5,End of life,Not found. Battery works. On/off too. Phone no longer starts. phone broken. Can we remove the photos?
Apple,unknown,unknown,Repairable,New battery fitted.
Samsung,unknown,unknown,Repairable,Screen is cracked. Needs to be replaced. None of the repairmen dare to carry out the repair. Advice: come back when Jeffrye or Nazif is there.
Apple,unknown,unknown,Repairable,battery defective. battery. replace battery.
Samsung,unknown,unknown,End of life,Cracked window + HS battery. Does not hold electrical charge.
Apple,unknown,unknown,Repairable,Forgotten password. I Cloud account connection problem. New code requested from APPLE.
Apple,unknown,unknown,End of life,Home button refuses service.
Apple,2019,2,Repairable,Battery. Battery drains quickly. Replace battery.
Samsung,unknown,unknown,Repairable,filthy. don't charge. entrance cleaned.
Apple,2018,3,Repairable,The screw inside the tap vibrator has vibrated a bit too loose. Home button loud noise. Tightened the screw on the tap vibrator.
Samsung,unknown,unknown,Repairable,glass piece. glass piece. New glass installed (already ordered)
Samsung,unknown,unknown,Repairable,filthy. no longer charging. cleaned.
Apple,unknown,unknown,Repairable,"battery. Advise regarding battery repair, advising against Iphone to encourage reparability."
Samsung,unknown,unknown,Repairable,apps installed.
Apple,unknown,unknown,Repairable,Broken screen replaced. Broken screen.
Samsung,unknown,unknown,Repairable,LCD screen damaged. Screen cracked and black. Return next time.
Apple,unknown,unknown,Repairable,Defective cable (needs to be changed) Checking the charger. The visitor buys a new cable. The visitor buys a new cable.
Apple,unknown,unknown,Repairable,repair status unknown.
Apple,unknown,unknown,Repairable,HS battery. Mrs. Virginie Nonnet: device Cuts off after a few seconds. Tips on buying a battery.
Samsung,2015,4,Repairable,"Power block defective. not turning on. need new power block, possibly new batteries."
Apple,2015,4,Repairable,"power block defective. power issues. need new power block, possibly new batteries."
Apple,2016,4,End of life,WiFi network is not responding. No WiFi. reset performed.
Apple,2017,3,Repairable,Screen glass cracked. Replace screen.
Samsung,unknown,unknown,End of life,dead.
Apple,unknown,unknown,Repairable,doesn't load. Dust afterwards.
Apple,2018,2,Repairable,Replace battery and screen. Phone often falls out and screen is cracked. Replace.
Apple,2012,8,Repairable,Broken screen. Screen change.
Samsung,unknown,unknown,End of life,he doesn't answer anymore.
Apple,2016,4,End of life,Water Damage.
Samsung,unknown,unknown,Repairable,Suggested factory reset. screen black.
Samsung,unknown,unknown,Repairable,suggested install malware. hijacked by an app with adds.
Samsung,unknown,unknown,End of life,Flickered and died over a 2 month period.
Samsung,unknown,unknown,Repairable,Charging issue. Either battery charging part or dissembled for customer to deal with battery.
Apple,unknown,unknown,Repairable,"I phone, A Nokias, A samsung and a Motorola all need re setting. All phones returned to factory settings."
Apple,unknown,unknown,End of life,WhatsApp is not installed. whatsapp doesn't work.
Apple,2012,8,Repairable,Screen broken. New screen.
Samsung,unknown,unknown,End of life,broken cable. Touchpad doesn't work.
Samsung,unknown,unknown,End of life,Not found. No function.
Apple,unknown,unknown,End of life,"Difficult diagnosis: charging cable missing, battery almost empty. ask if it can be repaired."
Samsung,unknown,unknown,Repairable,No power. New Battery ordered and fit for Visitor.
Samsung,unknown,unknown,End of life,Display.
Samsung,2016,4,Repairable,"no contact charger. going back to the store, it was repaired last week. Warranty. USB port not soldered properly."
Samsung,2016,4,Repairable,password setting. it doesn't work well anymore. new password set.
Apple,2017,3,Repairable,Broken back camera and flashlight. refer good repair places.
Apple,2015,5,Repairable,"want to make 1 working phone from 3. screen cracked. swapped the screen, camera and home button."
Samsung,unknown,unknown,Repairable,Transfer data. Transfer data. All data transferred to new phone.
Apple,2015,5,End of life,"1. All screws were included loose, too great a risk to replace. 2. Update via iTunes failed (error 78), put screen on and suspected software problem."
Apple,2016,3,Repairable,Screen damaged. Replaced Screen for Customer.
Apple,2016,3,End of life,screen defective. won't turn on and freezes.
Apple,2015,4,Repairable,home button defective. cable broken. this can be repaired and replaced.
Samsung,2017,2,Repairable,not yet set up properly. ringtone with train sounds not working. set.
Samsung,unknown,unknown,End of life,Doesn't work anymore (fallen)
Samsung,2017,2,Repairable,Software and/or Android. Device keeps restarting.
Samsung,unknown,unknown,End of life,broken window.
Apple,2012,7,Repairable,wires loose. cord reattached.
Apple,2015,4,Repairable,"Screen broken. Screen broken, streaks on LCD. Replace screen."
Apple,2012,7,Repairable,Battery bad. battery bad.
Apple,2015,4,Repairable,New screen needed. Client ordered wrong part however advised them of right one for return visit.
Samsung,unknown,unknown,Repairable,"does not start. nothing can be done about it, because the operating system version is no longer supported."
Apple,unknown,unknown,Repairable,Cracked screen. Several local shops specialise in replacing screen.
Apple,unknown,unknown,Repairable,"screen cracked. Did not start due to lack of time, will come later."
Samsung,2018,1,End of life,"Screen broken. Stains on screen, now no image."
Samsung,unknown,unknown,Repairable,difficulty with new technology. whatsapp not working. explained how it works.
Apple,unknown,unknown,Repairable,Needs new battery. Battery needs replacing. Replaced battery.
Samsung,unknown,unknown,Repairable,not working. Full access enabled on operating system.
Samsung,2015,4,End of life,Doesn't charge. Keeps falling out.
Samsung,2016,3,End of life,moisture problem. dropped phone in water.
Samsung,unknown,unknown,Repairable,screen cracked and back light not working. screen replaced but it crocked again.
Apple,unknown,unknown,Repairable,Software.
Samsung,unknown,unknown,End of life,phone gets hot.
Apple,unknown,unknown,Repairable,Battery needs replacing. Battery issue. New battery to be bought and phone brought back next time.
Apple,unknown,unknown,Repairable,Battery needs replacing. Battery needs replacing. Buy a new battery and get fitted at Repair Cafe.
Samsung,unknown,unknown,Repairable,remove photos. transferred photos via Bluetooth to another phone and reset GSM S7390.
Samsung,unknown,unknown,Repairable,please set up properly and install apps. settings checked and set correctly.
Apple,2016,3,Repairable,phone broken. phone doesn't turn on. Visit Apple.
Samsung,2017,2,Repairable,screen broken. screen broken. order screen and then come back.
Apple,2015,4,Repairable,Replace battery. Battery worn out. Replace battery.
Samsung,unknown,unknown,Repairable,no screen. no screen. screen is ordered by customer.
Samsung,2011,8,Repairable,data via SIM. advice on data transfer. Google account/Gmail transferred.
Samsung,unknown,unknown,Repairable,"Screen broken. Screen broken. Ordered the screen, put in the following repair."
Apple,unknown,unknown,Repairable,Battery old. Replace battery.
Samsung,unknown,unknown,Repairable,Advice. Advice. Advice given.
Apple,unknown,unknown,Repairable,Screen cracked. Replace screen.
Apple,unknown,unknown,Repairable,Screen broken and battery too old. Replaced screen and battery too.
Apple,unknown,unknown,Repairable,Screen broken. Replace screen.
Apple,2015,4,Repairable,"does not open. sim was stuck, holder loosened."
Apple,unknown,unknown,Repairable,check battery. replace battery.
Apple,2018,0,End of life,No idea. Cannot send messages.
Samsung,unknown,unknown,End of life,time/date wrong.
Apple,2015,3,Repairable,home button doesn't wake up. home button not working. hardware defect.
Apple,unknown,unknown,Repairable,"frame dislocated, glass defective. protective edge loose. buy new glass."
Apple,unknown,unknown,Repairable,LCD glass defective. screen damaged. replaced LCD.
Apple,2014,4,Repairable,doesn't work anymore. cleaned.
Apple,unknown,unknown,Repairable,The back falls off. Referral to telephone repairman.
Samsung,unknown,unknown,End of life,does not turn on.
Samsung,2018,0,Repairable,Setting. Screen locked. Went through settings with customer.
Samsung,2013,5,Repairable,Screen of one device broken. Transfer screen from one phone to another. Replace screen from broken to working.
Apple,2013,5,Repairable,Network disorder.
Apple,2010,8,Repairable,water damage.
Samsung,unknown,unknown,Repairable,"A symbol remains on the display, which means that someone has called. It doesn't want to go away. Customer advised to clean software. Explained how to do that."
Samsung,2017,1,End of life,remains on home screen.
Samsung,2014,4,Repairable,Charging connection --> pin bent. Plug connected incorrectly. Place the plug at a different angle.
Samsung,2012,6,Repairable,falls back into login mode. PIN code confirmation disabled.
Apple,unknown,unknown,Repairable,make a backup. helped with backup settings.
Apple,unknown,unknown,Repairable,"A new battery has been installed, but the device no longer works. Battery defective and replaced by customer himself."
Apple,2012,6,Repairable,doesn't turn on anymore. possible battery problem. referred to GSM Delft.
Samsung,2017,1,Repairable,Explanation. Unknown. How to uninstall an app etc.
Apple,unknown,unknown,Repairable,not loading. USB cable piece.
Samsung,2013,4,Repairable,No sound on messages. Settings-application manager-BBM-show notifications tapped.
Apple,2010,8,Repairable,battery drains quickly. old age. replace battery.
Samsung,2000,17,Repairable,"glass broken. traps. Touchscreen broke during repair, buy a new screen."
Apple,2010,8,Repairable,"The battery is old and drains quickly. Old battery. The lady advised us to order a battery, we can put it in the phone at the next repair cafe."
Apple,unknown,unknown,Repairable,defective. known. forwarded to RepairDirect.nl.
Apple,unknown,unknown,Repairable,screen and home button broken. screen and home button replaced.
Apple,2013,4,Repairable,Check settings. Unknown. Apple Store.
Apple,2016,2,Repairable,help with institutions. assistance with institutions.
Apple,unknown,unknown,Repairable,don't know how to update. lack of knowledge. helped update to 11.0.3.
Apple,2016,1,Repairable,"Bad battery, please order a new battery. Unknown. Ordered and installed new battery."
Samsung,unknown,unknown,Repairable,Installing Airwatch failed. ?? We will look up the solution and then email it to you.
Samsung,2016,1,Repairable,motherboard is broken. it needs a new motherboard.
Samsung,unknown,unknown,End of life,battery? phone no longer turns on.
Samsung,unknown,unknown,Repairable,"it doesn't work. battery empty. battery given an electric shock, advice to then charge for 24 hours."
Samsung,2013,4,Repairable,"weather program did not work and date is incorrect. no internet connection. logged into wifi, the program needed internet to work."
Samsung,2015,2,Repairable,Battery not charging. Loose battery. Battery secured.
Apple,2016,1,End of life,Screen is black. No idea.
Apple,2016,1,Repairable,unfamiliar with settings. age. help with institutions.
Apple,unknown,unknown,Repairable,it doesn't work. unknown. helped with switching on and installing.
Apple,2016,1,Repairable,difficulty with settings. illiterate. help with institutions.
Apple,unknown,unknown,Repairable,Mobile - Mic problem - Tried cardboard hack and failed.
Samsung,unknown,unknown,Repairable,Mobile - Configuration problem -
Samsung,unknown,unknown,End of life,Mobile - -
Apple,unknown,unknown,Repairable,Mobile - No sound output -
Samsung,unknown,unknown,Repairable,Mobile - Gets no power -
Samsung,unknown,unknown,Repairable,Mobile - Won't boot -
Apple,unknown,unknown,End of life,Mobile - Switch problem -
Samsung,unknown,unknown,End of life,Mobile - Bricked -
Apple,unknown,unknown,Repairable,Mobile - No power -
Samsung,unknown,unknown,End of life,Mobile - Battery issue -
Samsung,unknown,unknown,End of life,Mobile - No power -
Samsung,unknown,unknown,End of life,Mobile - Bricked -
Apple,unknown,unknown,Repairable,Mobile - Screen issue - Not enough time.
Apple,unknown,unknown,End of life,Mobile - No SIM card recognition -
Samsung,unknown,unknown,End of life,Mobile - Won't boot - Not enough time.
Samsung,unknown,unknown,Repairable,Mobile - Firmware issue -
Apple,unknown,unknown,Repairable,Mobile - Screen issue - needs a new part.
Apple,unknown,unknown,Repairable,Mobile - screen issue - Spare part needed.
Samsung,unknown,unknown,Repairable,Mobile - Screen issue - Referred to professional.
Samsung,unknown,unknown,Repairable,Mobile - Home button - Needs more work.
Apple,unknown,unknown,Repairable,Mobile - Home button/Power switch - Needs spare part - DIY ready.
Samsung,unknown,unknown,Repairable,Mobile - Lens smashed - Self-fix.
Samsung,unknown,unknown,End of life,Mobile - USB port - Referred to professional.
Samsung,unknown,unknown,End of life,Mobile - Bootloop - Referred to professional.
Apple,unknown,unknown,End of life,Mobile - Screen issue -
Samsung,unknown,unknown,End of life,Mobile - Won't boot -
Apple,unknown,unknown,End of life,Mobile - Screen issue -
Apple,unknown,unknown,Repairable,Mobile - Screen issue -
Apple,unknown,unknown,Repairable,Mobile - Screen issue - Self repair.
Apple,unknown,unknown,Repairable,Mobile - Battery dead -
Apple,unknown,unknown,End of life,Mobile - Water damaged -
Samsung,unknown,unknown,Repairable,Mobile - Running slow -
Apple,unknown,unknown,Repairable,Mobile - Broken home button -
Samsung,unknown,unknown,Repairable,Mobile - Power button? -
Apple,unknown,unknown,Repairable,Mobile - Screen issue -
Apple,unknown,unknown,Repairable,Mobile - Screen issue -
Apple,unknown,unknown,Repairable,Mobile - Earphone jack -
Apple,unknown,unknown,End of life,Mobile - Mic problem -
Apple,unknown,unknown,Repairable,Dropped - no sign of life. (Was actually ok)
Samsung,unknown,unknown,Repairable,Screen cracked.
Apple,unknown,unknown,Repairable,Spare screen purchased by the person before they came but it wasn't the right one for this phone. Advised them to come back to another party.
Apple,unknown,unknown,Repairable,Person came to party with cracked screen. Restarter told them they needed to buy a screen. They went away and got one and after some time trying to fit it the Restarter said it was the wrong screen.
Apple,unknown,unknown,Repairable,screen broken.
Apple,unknown,unknown,Repairable,back and front screen.
Apple,unknown,unknown,Repairable,screen broken.
Apple,unknown,unknown,Repairable,broken screen.
Apple,unknown,unknown,Repairable,"Failed screen replacement, not clear why. Referred to Lovefone."
Samsung,unknown,unknown,Repairable,"Smashed screen, doesn't switch on."
Samsung,unknown,unknown,Repairable,"Switches on, but can't launch programmes."
Apple,unknown,unknown,Repairable,Turn off after a few minutes.
Apple,unknown,unknown,Repairable,Locked.
Apple,unknown,unknown,Repairable,Speaker not working - referred to Lovefone.
Apple,unknown,unknown,Repairable,"Home button is stuck. Neeeds to go to shop, button mislodged after screen repair."
Samsung,unknown,unknown,Repairable,Screen broken.
Apple,unknown,unknown,Repairable,Condensation underneath screen.
Apple,unknown,unknown,Repairable,Poor battery ilfe and screen cracked.
Samsung,unknown,unknown,Repairable,"Got wet, won't switch on. Photos saved, half fixed."
Samsung,unknown,unknown,End of life,Can't hear calls. Can't be fixed.
Samsung,unknown,unknown,Repairable,"Doesn't charge, doesn't switch on. Needs new battery."
Apple,unknown,unknown,Repairable,Speaker crackly and broken screen.
Samsung,unknown,unknown,Repairable,Keeps cutting out. Didn't need SD card.
Apple,unknown,unknown,Repairable,Needs new battery.
Apple,unknown,unknown,Repairable,Needs software update.
Apple,unknown,unknown,Repairable,defective power button. elegible for Apple recall.
Samsung,unknown,unknown,Repairable,shuts down. reset to factory settings.
Apple,unknown,unknown,Repairable,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage."
Apple,unknown,unknown,Repairable,battery problems. helped her understand that her constant use of Spotify and bluetooth is the main problem.
Samsung,unknown,unknown,Repairable,"camera doesn't focus consistently. it's 6 month old from Argos, explained warranty repair."
Samsung,unknown,unknown,Repairable,Bad micro USB port.
Apple,unknown,unknown,Repairable,Advised on purchasing part.
Samsung,unknown,unknown,Repairable,"Micro USB damaged, needed replacing. DIY."
Apple,unknown,unknown,Repairable,Incomplete update. Owner wanted to backup before reset.
Apple,unknown,unknown,Repairable,Needed back-up before repair.
Apple,unknown,unknown,Repairable,Battery replacement.
Apple,unknown,unknown,Repairable,"Sim reader faulty, tried to resolder it."
Apple,unknown,unknown,Repairable,"Not charging, battery replaced."
Samsung,unknown,unknown,Repairable,Broken screen.
Samsung,unknown,unknown,Repairable,Mic not working.
Apple,unknown,unknown,Repairable,Screen replacement - full LCD assembly.
Apple,unknown,unknown,Repairable,Iphone button on and off not working.
Apple,unknown,unknown,Repairable,Screen replaced.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,End of life,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Screen repair.
Apple,unknown,unknown,Repairable,Vibrator replaced.
Apple,unknown,unknown,Repairable,Screen replaced.
Apple,unknown,unknown,Repairable,Screen replaced.
Apple,unknown,unknown,Repairable,Screen replaced.
Samsung,unknown,unknown,Repairable,Samsung.
Apple,unknown,unknown,Repairable,cracked screen.
Samsung,unknown,unknown,Repairable,"cracked glass, screen otherwise ok. helped with sourcing spare part."
Apple,unknown,unknown,Repairable,camera dirty.
Samsung,unknown,unknown,Repairable,screen goes black - impossible to replicate the issue.
Apple,unknown,unknown,Repairable,"speaker doesn't work. changed speaker cable, all sorted."
Samsung,unknown,unknown,Repairable,it blocks one specific contact. we suggested running a factory reset after backing up the phone.
Apple,unknown,unknown,Repairable,cracked screen.
Samsung,unknown,unknown,End of life,doesn't switch on.
Samsung,unknown,unknown,Repairable,Smashed screen.
Samsung,unknown,unknown,Repairable,Not getting power.
Samsung,unknown,unknown,Repairable,Storage problem.
Apple,unknown,unknown,Repairable,Cracked LCD but appears to need a new battery.
Samsung,unknown,unknown,Repairable,Faulty screen?
Samsung,unknown,unknown,Repairable,The battery had been nicked!
Apple,unknown,unknown,Repairable,Broken charging port.
Apple,unknown,unknown,Repairable,Power button not working.
Apple,unknown,unknown,Repairable,Cracked screen.
Samsung,unknown,unknown,Repairable,Power button does not work. Repair would require expensive spare part.
Apple,unknown,unknown,Repairable,Memory/storage problem.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Screen replacement.
